	Match	ALC (%)
0	Matched	99.0
1	Matched	99.0
2	Matched	99.0
3	Matched	99.0
4	Matched	99.0
5	Matched	99.0
6	Matched	99.0
7	Matched	99.0
8	Matched	99.0
9	not detected	99.0
10	Matched	99.0
11	Matched	99.0
12	Matched	99.0
13	not detected	99.0
14	Matched	99.0
15	Matched	99.0
16	Matched	99.0
17	Matched	99.0
18	not detected	99.0
19	Matched	99.0
20	Matched	99.0
21	Matched	99.0
22	Matched	99.0
23	Matched	99.0
24	Matched	99.0
25	Matched	99.0
26	Matched	99.0
27	Matched	99.0
28	Matched	99.0
29	not detected	99.0
30	Matched	99.0
31	Matched	99.0
32	Matched	99.0
33	Matched	99.0
34	Matched	99.0
35	Matched	99.0
36	not detected	99.0
37	not detected	99.0
38	Matched	99.0
39	not detected	99.0
40	Matched	99.0
41	Matched	99.0
42	not detected	99.0
43	Matched	99.0
44	Matched	99.0
45	Matched	99.0
46	Matched	99.0
47	Matched	99.0
48	Matched	99.0
49	Matched	99.0
50	Matched	99.0
51	Matched	99.0
52	not detected	99.0
53	Matched	99.0
54	Matched	99.0
55	Matched	99.0
56	Matched	99.0
57	Matched	99.0
58	Matched	99.0
59	Matched	99.0
60	Matched	99.0
61	not detected	99.0
62	Matched	99.0
63	Matched	99.0
64	Matched	99.0
65	not detected	99.0
66	not detected	99.0
67	not detected	99.0
68	Matched	99.0
69	Matched	99.0
70	Matched	99.0
71	Matched	99.0
72	Matched	99.0
73	Matched	99.0
74	Matched	99.0
75	not detected	99.0
76	not detected	99.0
77	Matched	99.0
78	Matched	99.0
79	not detected	99.0
80	Matched	99.0
81	not detected	99.0
82	not detected	99.0
83	Matched	99.0
84	Matched	99.0
85	Matched	99.0
86	Matched	99.0
87	Matched	99.0
88	Matched	99.0
89	Matched	99.0
90	Matched	99.0
91	Matched	99.0
92	Matched	99.0
93	Matched	99.0
94	Matched	99.0
95	Matched	99.0
96	Matched	99.0
97	Matched	99.0
98	Matched	99.0
99	Matched	99.0
100	Matched	99.0
101	Matched	99.0
102	Matched	99.0
103	Matched	99.0
104	Matched	99.0
105	Matched	99.0
106	Matched	99.0
107	Matched	99.0
108	Matched	99.0
109	Matched	99.0
110	Matched	99.0
111	Matched	99.0
112	Matched	99.0
113	not detected	99.0
114	Matched	99.0
115	Matched	99.0
116	Matched	99.0
117	Matched	99.0
118	not detected	99.0
119	Matched	99.0
120	Matched	99.0
121	Matched	99.0
122	Matched	99.0
123	Matched	99.0
124	Matched	99.0
125	Matched	99.0
126	Matched	99.0
127	Matched	99.0
128	Matched	99.0
129	Matched	99.0
130	Matched	99.0
131	not detected	99.0
132	not detected	99.0
133	not detected	99.0
134	not detected	99.0
135	Matched	99.0
136	Matched	99.0
137	not detected	99.0
138	Matched	99.0
139	Matched	99.0
140	Matched	99.0
141	Matched	99.0
142	Matched	99.0
143	not detected	99.0
144	Matched	99.0
145	not detected	99.0
146	Matched	99.0
147	Matched	99.0
148	Matched	99.0
149	Matched	99.0
150	Matched	99.0
151	Matched	99.0
152	Matched	99.0
153	Matched	99.0
154	Matched	99.0
155	not detected	99.0
156	Matched	99.0
157	not detected	99.0
158	not detected	99.0
159	not detected	99.0
160	Matched	99.0
161	not detected	99.0
162	not detected	99.0
163	Matched	99.0
164	Matched	99.0
165	Matched	99.0
166	Matched	99.0
167	Matched	99.0
168	Matched	99.0
169	not detected	99.0
170	Matched	99.0
171	Matched	99.0
172	Matched	99.0
173	Matched	99.0
174	Matched	99.0
175	Matched	99.0
176	Matched	99.0
177	not detected	99.0
178	Matched	99.0
179	Matched	99.0
180	not detected	99.0
181	Matched	99.0
182	Matched	99.0
183	Matched	99.0
184	not detected	99.0
185	Matched	99.0
186	Matched	99.0
187	Matched	99.0
188	Matched	99.0
189	Matched	99.0
190	Matched	99.0
191	Matched	99.0
192	not detected	99.0
193	Matched	99.0
194	Matched	99.0
195	not detected	99.0
196	Matched	99.0
197	Matched	99.0
198	Matched	99.0
199	Matched	99.0
200	Matched	99.0
201	Matched	99.0
202	Matched	99.0
203	Matched	99.0
204	Matched	99.0
205	Matched	99.0
206	Matched	99.0
207	Matched	99.0
208	Matched	99.0
209	Matched	99.0
210	not detected	99.0
211	Matched	99.0
212	Matched	99.0
213	Matched	99.0
214	Matched	98.0
215	Matched	98.0
216	Matched	98.0
217	Matched	98.0
218	Matched	98.0
219	Matched	98.0
220	Matched	98.0
221	Matched	98.0
222	Matched	98.0
223	Matched	98.0
224	Matched	98.0
225	Matched	98.0
226	Matched	98.0
227	Matched	98.0
228	Matched	98.0
229	Matched	98.0
230	Matched	98.0
231	not detected	98.0
232	Matched	98.0
233	Matched	98.0
234	Matched	98.0
235	Matched	98.0
236	Matched	98.0
237	Matched	98.0
238	Matched	98.0
239	Matched	98.0
240	Matched	98.0
241	Matched	98.0
242	Matched	98.0
243	not detected	98.0
244	Matched	98.0
245	not detected	98.0
246	Matched	98.0
247	Matched	98.0
248	Matched	98.0
249	Matched	98.0
250	Matched	98.0
251	Matched	98.0
252	Matched	98.0
253	Matched	98.0
254	Matched	98.0
255	not detected	98.0
256	Matched	98.0
257	Matched	98.0
258	not detected	98.0
259	Matched	98.0
260	Matched	98.0
261	Matched	98.0
262	Matched	98.0
263	Matched	98.0
264	not detected	98.0
265	Matched	98.0
266	Matched	98.0
267	Matched	98.0
268	Matched	98.0
269	Matched	98.0
270	Matched	98.0
271	Matched	98.0
272	not detected	98.0
273	Matched	98.0
274	Matched	98.0
275	Matched	98.0
276	Matched	98.0
277	Matched	98.0
278	Matched	98.0
279	Matched	98.0
280	not detected	98.0
281	not detected	98.0
282	Matched	98.0
283	Matched	98.0
284	Matched	98.0
285	Matched	98.0
286	Matched	98.0
287	Matched	98.0
288	Matched	98.0
289	Matched	98.0
290	Matched	98.0
291	Matched	98.0
292	Matched	98.0
293	not detected	98.0
294	Matched	98.0
295	Matched	98.0
296	Matched	98.0
297	Matched	98.0
298	Matched	98.0
299	Matched	98.0
300	Matched	98.0
