Scan	superkingdom	phylum	class	order	family	genus	species	proteins	taxids
4323	Eukaryota							sp|P83967|ACT6_DROME, sp|P83968|ACT6_DROSI	7227, 7240
21919	Eukaryota								
14421	Eukaryota								
17155	Eukaryota								
14495	Eukaryota								
16847	Eukaryota								
11985	Eukaryota								
17061	Eukaryota								
7053	Eukaryota							sp|P10592|HSP72_YEAST, sp|P10591|HSP71_YEAST	559292
18590	Eukaryota							sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST	559292
13855	Eukaryota							sp|P22202|HSP74_YEAST, sp|P10591|HSP71_YEAST	559292
21384	Eukaryota							sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST	559292
5807	Eukaryota							sp|Q8INI8|HSP72_DROME, sp|P02826|HSP7A_DROSI, sp|Q9VG58|HSP74_DROME, sp|Q9BIS2|HSP73_DROME, sp|O97125|HSP68_DROME, sp|P11146|HSP7B_DROME	7227, 7240
15208	Eukaryota								
7048	Eukaryota							sp|P10592|HSP72_YEAST, sp|P10591|HSP71_YEAST	559292
17622	Eukaryota							sp|Q9HE04|RHO5_SCHPO, sp|P06780|RHO1_YEAST, sp|Q874R1|RHO4_SCHPO, sp|Q09914|RHO1_SCHPO	559292, 284812
9152	Eukaryota								
15146	Eukaryota							sp|P06780|RHO1_YEAST	559292
22483	Eukaryota							sp|P10592|HSP72_YEAST, sp|P10591|HSP71_YEAST	559292
10752	Eukaryota								
25306	Eukaryota								
13523									
13516									
13562									
11597	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
7062	Eukaryota							sp|P0CT53|EF1A1_SCHPO, sp|P0CT54|EF1A2_SCHPO, sp|P0CT55|EF1A3_SCHPO, sp|P02994|EF1A_YEAST	559292, 284812
11905	Eukaryota							sp|P07378|PGKC_TRYBB, sp|P00560|PGK_YEAST, sp|P08893|PGKE_TRYBB, sp|P41760|PGK1_TRYCO, sp|P08891|PGKA_TRYBB, sp|P41762|PGKG_TRYCO, sp|P07377|PGKB_TRYBB, sp|P08892|PGKD_TRYBB	5692, 559292, 5702
16361	Eukaryota							sp|P00560|PGK_YEAST	559292
