Scan	superkingdom	phylum	class	order	family	genus	species	proteins	taxids
14421	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|P53499|ACT_CHOCR, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|P30161|ACT_COSCS, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P22132|ACT2_PHYIN, sp|P02578|ACT1_ACACA, sp|P53459|ACT6_DIBDE	35862, 2872, 5763, 4787, 6210, 35632, 28845, 3357, 2769, 4829, 5755
15230									
15538									
11048	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|Q96483|ACT2_SOLLC, sp|Q9UVZ8|ACT_CANDC, sp|Q11212|ACT_SPOLI, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|O74258|ACT_OGAPD, sp|P14235|ACT_CANAX, sp|P93584|ACT9_SOLTU, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|P0C542|ACT7_ORYSI, sp|Q75D00|ACT_EREGS, sp|Q96482|ACT1_SOLLC, sp|P60011|ACT_SACBA, sp|P0C540|ACT7_ORYSJ, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P26183|ACT_CRYPV, sp|P93375|ACT7_TOBAC, sp|P60010|ACT_YEAST, sp|P93373|ACT3_TOBAC, sp|P18602|ACT3_ARTSX, sp|P93587|ACT1_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|Q92193|ACT_CRAVI, sp|P22132|ACT2_PHYIN, sp|P02578|ACT1_ACACA, sp|Q39596|ACT_OXYRB, sp|P53459|ACT6_DIBDE	35862, 284811, 6565, 4081, 2872, 5763, 4113, 4787, 7109, 871575, 5476, 4931, 6210, 573826, 35632, 28845, 4097, 3560, 3357, 39946, 559292, 5807, 4829, 6662, 39947, 294746, 5755
18590	Eukaryota							sp|E2RU97|1433_GIAIC, sp|C0H4V6|1433I_PLAF7, sp|P42657|RAD25_SCHPO, sp|Q43470|1433B_HORVU, sp|Q96452|1433C_SOYBN, sp|P85939|14332_PSEMZ, sp|Q25538|1433_NEOCA, sp|Q7XTE8|14332_ORYSJ, sp|O42766|1433_CANAL, sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST, sp|Q6EUP4|14335_ORYSJ, sp|P49106|14331_MAIZE, sp|P42656|RAD24_SCHPO, sp|P92177|1433E_DROME, sp|Q41246|1433_TOBAC, sp|Q9C5W6|14312_ARATH, sp|O96436|1433_EIMTE, sp|P93212|14337_SOLLC	184922, 7227, 4081, 29176, 3702, 237561, 4577, 5802, 4513, 4097, 36329, 3357, 559292, 39947, 284812, 3847
17694									
14917									
17079									
15278	Eukaryota							sp|Q9SP07|1433_LILLO, sp|P93214|14339_SOLLC, sp|P29305|1433A_HORVU, sp|P42657|RAD25_SCHPO, sp|Q01525|14332_ARATH, sp|Q41418|14331_SOLTU, sp|Q43470|1433B_HORVU, sp|P93343|1433C_TOBAC, sp|Q96453|1433D_SOYBN, sp|Q5QNB8|14337_ORYSJ, sp|P85939|14332_PSEMZ, sp|Q96452|1433C_SOYBN, sp|P42644|14333_ARATH, sp|Q7XTE8|14332_ORYSJ, sp|O42766|1433_CANAL, sp|Q2R2W2|14334_ORYSJ, sp|C6TH93|CASP4_SOYBN, sp|O65352|1433_HELAN, sp|P29307|1433_OENEH, sp|P34730|BMH2_YEAST, sp|P42654|1433B_VICFA, sp|P29311|BMH1_YEAST, sp|P52908|1433_CHLRE, sp|P84972|1433_POPEU, sp|Q6ZKC0|14333_ORYSJ, sp|P93342|1433A_TOBAC, sp|Q6EUP4|14335_ORYSJ, sp|P93784|14335_SOLTU, sp|P49106|14331_MAIZE, sp|P93259|1433_MESCR, sp|Q96299|14339_ARATH, sp|P42656|RAD24_SCHPO, sp|Q84J55|14331_ORYSJ, sp|P42653|1433A_VICFA, sp|P92177|1433E_DROME, sp|Q01526|14332_MAIZE, sp|Q41246|1433_TOBAC, sp|P46266|1433_PEA, sp|P93211|14336_SOLLC, sp|Q06967|14336_ORYSJ, sp|P93212|14337_SOLLC	3055, 75702, 7227, 4081, 4690, 3544, 3702, 4113, 237561, 85636, 3906, 4232, 4577, 4513, 4097, 3888, 3357, 559292, 39947, 284812, 3847
16774									
16464									
17155	Eukaryota							sp|P86700|ACT_CHIOP, sp|Q92192|ACT_CALFI, sp|P91754|ACT_LUMRU, sp|Q25379|ACT3_LYTPI, sp|P85937|ACT2_PSEMZ, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|A5DQP9|ACT_PICGU, sp|P45521|ACT_PROCL, sp|Q25381|ACTM_LYTPI, sp|Q92193|ACT_CRAVI, sp|P02578|ACT1_ACACA	7653, 6565, 6728, 6210, 41210, 35632, 28845, 6837, 3357, 294746, 5755
15285	Eukaryota							sp|Q9SP07|1433_LILLO, sp|P93214|14339_SOLLC, sp|P29305|1433A_HORVU, sp|P42657|RAD25_SCHPO, sp|Q01525|14332_ARATH, sp|Q41418|14331_SOLTU, sp|Q43470|1433B_HORVU, sp|P93343|1433C_TOBAC, sp|Q96453|1433D_SOYBN, sp|Q5QNB8|14337_ORYSJ, sp|P85939|14332_PSEMZ, sp|Q96452|1433C_SOYBN, sp|P42644|14333_ARATH, sp|Q7XTE8|14332_ORYSJ, sp|O42766|1433_CANAL, sp|Q2R2W2|14334_ORYSJ, sp|C6TH93|CASP4_SOYBN, sp|O65352|1433_HELAN, sp|P29307|1433_OENEH, sp|P34730|BMH2_YEAST, sp|P42654|1433B_VICFA, sp|P29311|BMH1_YEAST, sp|P52908|1433_CHLRE, sp|P84972|1433_POPEU, sp|Q6ZKC0|14333_ORYSJ, sp|P93342|1433A_TOBAC, sp|Q6EUP4|14335_ORYSJ, sp|P93784|14335_SOLTU, sp|P49106|14331_MAIZE, sp|P93259|1433_MESCR, sp|Q96299|14339_ARATH, sp|P42656|RAD24_SCHPO, sp|Q84J55|14331_ORYSJ, sp|P42653|1433A_VICFA, sp|P92177|1433E_DROME, sp|Q01526|14332_MAIZE, sp|Q41246|1433_TOBAC, sp|P46266|1433_PEA, sp|P93211|14336_SOLLC, sp|Q06967|14336_ORYSJ, sp|P93212|14337_SOLLC	3055, 75702, 7227, 4081, 4690, 3544, 3702, 4113, 237561, 85636, 3906, 4232, 4577, 4513, 4097, 3888, 3357, 559292, 39947, 284812, 3847
