Scan	superkingdom	phylum	class	order	family	genus	species	proteins	taxids
14421	Eukaryota	Chordata						sp|P68142|ACTB1_TAKRU, sp|O42161|ACTB_SALSA, sp|P29751|ACTB_RABIT, sp|Q7ZVF9|ACTB2_DANRE, sp|P53486|ACTB3_TAKRU, sp|O18840|ACTB_CANLF, sp|Q91ZK5|ACTB_SIGHI, sp|P60711|ACTB_RAT, sp|P60708|ACTB_HORSE, sp|P79818|ACTB_ORYLA, sp|O93400|ACTB_XENLA, sp|P60710|ACTB_MOUSE, sp|P60707|ACTB_TRIVU, sp|P83750|ACTB_CYPCA, sp|Q7ZVI7|ACTB1_DANRE, sp|P48975|ACTB_CRIGR, sp|P68143|ACTB_OREMO, sp|P83751|ACTB_CTEID, sp|Q6NVA9|ACTB_XENTR, sp|P53485|ACTB2_TAKRU, sp|P60706|ACTB_CHICK, sp|Q711N9|ACTB_MESAU, sp|Q71FK5|ACTB_CAVPO, sp|Q4L0Y2|ACTB_SPECI	7959, 8364, 31033, 8090, 10090, 9796, 10141, 9986, 8127, 10116, 8030, 10036, 7955, 8355, 9615, 42415, 7962, 9031, 9997, 10029, 9337
15230	Eukaryota							sp|Q05025|G3P_COTJA, sp|P00360|G3P1_YEAST, sp|P17331|G3P4_CAEEL, sp|P00356|G3P_CHICK, sp|P34921|G3PC_DIACA, sp|P34922|G3PC_PEA, sp|P04970|G3P1_CAEEL, sp|P26988|G3P_PHYIN, sp|Q96UF1|G3P3_MUCCL, sp|Q757I2|G3P_EREGS, sp|P09094|G3PC_TOBAC, sp|Q5R2J2|G3P_PELSI, sp|O57479|G3P_COLLI, sp|P17878|G3PC_MESCR, sp|Q64467|G3PT_MOUSE, sp|O59841|G3P_OGAPD, sp|P25861|G3PC_ANTMA, sp|O57672|G3P_MELGA, sp|P04797|G3P_RAT, sp|P17330|G3P3_CAEEL, sp|Q96UF2|G3P2_MUCCL, sp|P00358|G3P2_YEAST, sp|Q9ESV6|G3PT_RAT, sp|P85954|G3PC_PSEMZ, sp|P80534|G3P_JACOR, sp|P16858|G3P_MOUSE, sp|P00359|G3P3_YEAST, sp|Q8NK47|G3P_RHIMI, sp|P17329|G3P2_CAEEL	48868, 3570, 284811, 4839, 3544, 13735, 10090, 4787, 9103, 871575, 10116, 4097, 4151, 3888, 3357, 93934, 9031, 559292, 29924, 8932, 6239
15538	Eukaryota							sp|Q05025|G3P_COTJA, sp|P00360|G3P1_YEAST, sp|P17331|G3P4_CAEEL, sp|P00356|G3P_CHICK, sp|P34921|G3PC_DIACA, sp|P34922|G3PC_PEA, sp|P04970|G3P1_CAEEL, sp|P26988|G3P_PHYIN, sp|Q96UF1|G3P3_MUCCL, sp|Q757I2|G3P_EREGS, sp|P09094|G3PC_TOBAC, sp|Q5R2J2|G3P_PELSI, sp|O57479|G3P_COLLI, sp|P17878|G3PC_MESCR, sp|Q64467|G3PT_MOUSE, sp|O59841|G3P_OGAPD, sp|P25861|G3PC_ANTMA, sp|O57672|G3P_MELGA, sp|P04797|G3P_RAT, sp|P17330|G3P3_CAEEL, sp|Q96UF2|G3P2_MUCCL, sp|P00358|G3P2_YEAST, sp|Q9ESV6|G3PT_RAT, sp|P85954|G3PC_PSEMZ, sp|P80534|G3P_JACOR, sp|P16858|G3P_MOUSE, sp|P00359|G3P3_YEAST, sp|Q8NK47|G3P_RHIMI, sp|P17329|G3P2_CAEEL	48868, 3570, 284811, 4839, 3544, 13735, 10090, 4787, 9103, 871575, 10116, 4097, 4151, 3888, 3357, 93934, 9031, 559292, 29924, 8932, 6239
11048	Eukaryota							sp|P27131|ACT1_NAEFO, sp|P35432|ACT1_ECHGR, sp|P68142|ACTB1_TAKRU, sp|Q96483|ACT2_SOLLC, sp|P91754|ACT_LUMRU, sp|P10982|ACT1_ABSGL, sp|P53458|ACT5_DIBDE, sp|Q03342|ACT3_ECHGR, sp|O74258|ACT_OGAPD, sp|P93584|ACT9_SOLTU, sp|C0HM50|ACT_CROSI, sp|P30161|ACT_COSCS, sp|P27132|ACT2_NAEFO, sp|Q7ZVI7|ACTB1_DANRE, sp|Q75D00|ACT_EREGS, sp|Q96482|ACT1_SOLLC, sp|P60011|ACT_SACBA, sp|P81228|ACT5_SOLTU, sp|P81229|ACT8_SOLTU, sp|P26183|ACT_CRYPV, sp|P93375|ACT7_TOBAC, sp|P60010|ACT_YEAST, sp|P93373|ACT3_TOBAC, sp|P93587|ACT1_SOLTU, sp|P53491|ACT_ACEPE, sp|P85911|ACT1_PSEMZ, sp|P30170|ACT10_SOLTU, sp|Q92193|ACT_CRAVI, sp|P22132|ACT2_PHYIN, sp|P02578|ACT1_ACACA, sp|Q39596|ACT_OXYRB, sp|P53459|ACT6_DIBDE	35862, 284811, 6565, 31033, 4081, 68455, 2872, 5763, 4113, 4787, 871575, 4931, 6210, 35632, 7955, 28845, 4097, 3560, 3357, 559292, 5807, 4829, 5755
18590	Eukaryota							sp|Q5ZLQ6|1433B_CHICK, sp|E2RU97|1433_GIAIC, sp|P62260|1433E_RAT, sp|C0H4V6|1433I_PLAF7, sp|Q5XGC8|1433B_XENTR, sp|P42657|RAD25_SCHPO, sp|O70456|1433S_MOUSE, sp|Q96452|1433C_SOYBN, sp|P62259|1433E_MOUSE, sp|P85939|14332_PSEMZ, sp|Q25538|1433_NEOCA, sp|Q6P4Z5|1433Z_XENTR, sp|Q5ZKC9|1433Z_CHICK, sp|P34730|BMH2_YEAST, sp|P29311|BMH1_YEAST, sp|P63101|1433Z_MOUSE, sp|Q8AVQ3|143BB_XENLA, sp|P42656|RAD24_SCHPO, sp|Q5ZMT0|1433E_CHICK, sp|Q5XHK2|143BA_XENLA, sp|Q91896|1433Z_XENLA, sp|P29309|1433_XENLA, sp|Q41246|1433_TOBAC, sp|O96436|1433_EIMTE, sp|P63102|1433Z_RAT, sp|P93212|14337_SOLLC	184922, 8364, 4081, 29176, 10090, 10116, 8355, 5802, 4097, 36329, 3357, 9031, 559292, 284812, 3847
17694	Eukaryota							sp|Q05025|G3P_COTJA, sp|P00360|G3P1_YEAST, sp|P17331|G3P4_CAEEL, sp|P00356|G3P_CHICK, sp|P34921|G3PC_DIACA, sp|P34922|G3PC_PEA, sp|P04970|G3P1_CAEEL, sp|P26988|G3P_PHYIN, sp|Q96UF1|G3P3_MUCCL, sp|Q757I2|G3P_EREGS, sp|P09094|G3PC_TOBAC, sp|Q5R2J2|G3P_PELSI, sp|O57479|G3P_COLLI, sp|P17878|G3PC_MESCR, sp|Q64467|G3PT_MOUSE, sp|O59841|G3P_OGAPD, sp|P25861|G3PC_ANTMA, sp|O57672|G3P_MELGA, sp|P04797|G3P_RAT, sp|P17330|G3P3_CAEEL, sp|Q96UF2|G3P2_MUCCL, sp|P00358|G3P2_YEAST, sp|Q9ESV6|G3PT_RAT, sp|P85954|G3PC_PSEMZ, sp|P80534|G3P_JACOR, sp|P16858|G3P_MOUSE, sp|P00359|G3P3_YEAST, sp|Q8NK47|G3P_RHIMI, sp|P17329|G3P2_CAEEL	48868, 3570, 284811, 4839, 3544, 13735, 10090, 4787, 9103, 871575, 10116, 4097, 4151, 3888, 3357, 93934, 9031, 559292, 29924, 8932, 6239
14917	Eukaryota							sp|Q05025|G3P_COTJA, sp|P00360|G3P1_YEAST, sp|P17331|G3P4_CAEEL, sp|P00356|G3P_CHICK, sp|P34921|G3PC_DIACA, sp|P34922|G3PC_PEA, sp|P04970|G3P1_CAEEL, sp|P26988|G3P_PHYIN, sp|Q96UF1|G3P3_MUCCL, sp|Q757I2|G3P_EREGS, sp|P09094|G3PC_TOBAC, sp|Q5R2J2|G3P_PELSI, sp|O57479|G3P_COLLI, sp|P17878|G3PC_MESCR, sp|Q64467|G3PT_MOUSE, sp|O59841|G3P_OGAPD, sp|P25861|G3PC_ANTMA, sp|O57672|G3P_MELGA, sp|P04797|G3P_RAT, sp|P17330|G3P3_CAEEL, sp|Q96UF2|G3P2_MUCCL, sp|P00358|G3P2_YEAST, sp|Q9ESV6|G3PT_RAT, sp|P85954|G3PC_PSEMZ, sp|P80534|G3P_JACOR, sp|P16858|G3P_MOUSE, sp|P00359|G3P3_YEAST, sp|Q8NK47|G3P_RHIMI, sp|P17329|G3P2_CAEEL	48868, 3570, 284811, 4839, 3544, 13735, 10090, 4787, 9103, 871575, 10116, 4097, 4151, 3888, 3357, 93934, 9031, 559292, 29924, 8932, 6239
17079	Eukaryota							sp|Q05025|G3P_COTJA, sp|P00360|G3P1_YEAST, sp|P17331|G3P4_CAEEL, sp|P00356|G3P_CHICK, sp|P34921|G3PC_DIACA, sp|P34922|G3PC_PEA, sp|P04970|G3P1_CAEEL, sp|P26988|G3P_PHYIN, sp|Q96UF1|G3P3_MUCCL, sp|Q757I2|G3P_EREGS, sp|P09094|G3PC_TOBAC, sp|Q5R2J2|G3P_PELSI, sp|O57479|G3P_COLLI, sp|P17878|G3PC_MESCR, sp|Q64467|G3PT_MOUSE, sp|O59841|G3P_OGAPD, sp|P25861|G3PC_ANTMA, sp|O57672|G3P_MELGA, sp|P04797|G3P_RAT, sp|P17330|G3P3_CAEEL, sp|Q96UF2|G3P2_MUCCL, sp|P00358|G3P2_YEAST, sp|Q9ESV6|G3PT_RAT, sp|P85954|G3PC_PSEMZ, sp|P80534|G3P_JACOR, sp|P16858|G3P_MOUSE, sp|P00359|G3P3_YEAST, sp|Q8NK47|G3P_RHIMI, sp|P17329|G3P2_CAEEL	48868, 3570, 284811, 4839, 3544, 13735, 10090, 4787, 9103, 871575, 10116, 4097, 4151, 3888, 3357, 93934, 9031, 559292, 29924, 8932, 6239
15278	Eukaryota	Streptophyta	Magnoliopsida					sp|Q9SP07|1433_LILLO, sp|P93214|14339_SOLLC, sp|Q41418|14331_SOLTU, sp|P93343|1433C_TOBAC, sp|Q96453|1433D_SOYBN, sp|Q96452|1433C_SOYBN, sp|C6TH93|CASP4_SOYBN, sp|O65352|1433_HELAN, sp|P29307|1433_OENEH, sp|P42654|1433B_VICFA, sp|P84972|1433_POPEU, sp|P93342|1433A_TOBAC, sp|P93784|14335_SOLTU, sp|P93259|1433_MESCR, sp|P42653|1433A_VICFA, sp|Q41246|1433_TOBAC, sp|P46266|1433_PEA, sp|P93211|14336_SOLLC, sp|P93212|14337_SOLLC	4113, 3888, 75702, 85636, 4081, 4097, 4690, 3906, 3544, 3847, 4232
16774	Eukaryota							sp|Q05025|G3P_COTJA, sp|P00360|G3P1_YEAST, sp|P17331|G3P4_CAEEL, sp|P00356|G3P_CHICK, sp|P34921|G3PC_DIACA, sp|P34922|G3PC_PEA, sp|P04970|G3P1_CAEEL, sp|P26988|G3P_PHYIN, sp|Q96UF1|G3P3_MUCCL, sp|Q757I2|G3P_EREGS, sp|P09094|G3PC_TOBAC, sp|Q5R2J2|G3P_PELSI, sp|O57479|G3P_COLLI, sp|P17878|G3PC_MESCR, sp|Q64467|G3PT_MOUSE, sp|O59841|G3P_OGAPD, sp|P25861|G3PC_ANTMA, sp|O57672|G3P_MELGA, sp|P04797|G3P_RAT, sp|P17330|G3P3_CAEEL, sp|Q96UF2|G3P2_MUCCL, sp|P00358|G3P2_YEAST, sp|Q9ESV6|G3PT_RAT, sp|P85954|G3PC_PSEMZ, sp|P80534|G3P_JACOR, sp|P16858|G3P_MOUSE, sp|P00359|G3P3_YEAST, sp|Q8NK47|G3P_RHIMI, sp|P17329|G3P2_CAEEL	48868, 3570, 284811, 4839, 3544, 13735, 10090, 4787, 9103, 871575, 10116, 4097, 4151, 3888, 3357, 93934, 9031, 559292, 29924, 8932, 6239
